Latitude,Longitude,Pop,pch
34.8557,-110.2359833,US024,1
39.224275,-103.1222917,US023,19
39.69666667,-104.8075833,US007,1
39.70283333,-105.3242222,US006,1
40.12226667,-101.2802833,US014,19
40.37190556,-104.4725611,US026,19
40.42110556,-122.5550694,US017,19
40.52815278,-104.8487889,US012,19
40.56120278,-104.8654528,US013,19
40.80234167,-104.4099111,US019,1
42.72536111,-118.0010333,US015,19
43.38552778,-106.9373333,US011,19
43.54677222,-118.9139917,US018,19
43.83713889,-105.1253889,US010,1
45.60475,-120.8160278,US009,1
45.61523333,-120.7875333,US001,15
45.74515,-119.7846833,US022,19
45.91633333,-118.4411667,US008,1
46.18226667,-118.82615,US002,15
46.60415,-116.64175,US003,15
46.617,-110.0921389,US021,19
46.85305556,-115.59,US025,1
46.86811667,-109.0664861,US016,1
46.98398889,-119.5801861,US020,19
49.01208333,-118.6457111,CA008,19
49.01493889,-122.8820972,CA001,15
49.29610278,-118.4738306,CA007,19
